Name;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;score;Score
Holmes;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes Majority;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes Majority Evaluation;True;True;True;True;True;True;True;True;True;;9/9
MKO;Vervanging;Geen antwoord;Één applicatie;Één organisatie;Middleware;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
MKO Majority;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Middleware;Geen antwoord;Transactie verwerkend systeem;Burgers;Geen antwoord;;
MKO Majority Evaluation;True;True;False;True;True;False;False;False;True;;5/9
NMS;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS Majority;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS Majority Evaluation;True;True;True;True;True;True;False;True;True;;8/9
Nieuw GBS;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS Majority;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Geen antwoord;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Nieuw GBS Majority Evaluation;True;True;True;True;True;True;True;True;True;;9/9
PLOOI;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Andere ambtenaren;Geen antwoord;;
PLOOI Majority;Doorontwikkeling;Geen antwoord;Één applicatie;Ander soort groep organisaties;Webapplicatie;Maatwerk;Gegevens beheer systeem;Geen antwoord;Geen antwoord;;
PLOOI Majority Evaluation;True;True;True;True;True;True;True;False;True;;8/9
SIO ZW Arbo;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Webapplicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo Majority;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Webapplicatie;Maatwerk;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
SIO ZW Arbo Majority Evaluation;True;True;True;True;True;True;False;True;True;;8/9
TIV;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Geen antwoord;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV Majority;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Geen antwoord;Standaard pakket;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
TIV Majority Evaluation;True;True;True;True;True;False;False;True;True;;7/9
Uitrol iWKS;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS Majority;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Embedded software;Maatwerk;Besturingssysteem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Uitrol iWKS Majority Evaluation;True;True;True;True;True;True;True;True;True;;9/9
Vernieuwing CIZ;Vervanging;Meerdere leveranciers;Één applicatie;Één organisatie;Webapplicatie;Maatwerk;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ Majority;Vervanging;Meerdere leveranciers;Enkele applicaties;Één organisatie;Webapplicatie;Maatwerk;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
Vernieuwing CIZ Majority Evaluation;True;True;False;True;True;True;False;True;True;;7/9
WORKit;Vervanging;Geen antwoord;Een landschap van applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Aangepast pakket;Geen antwoord;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit Majority;Vervanging;Geen antwoord;Enkele applicaties;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Maatwerk;Transactie verwerkend systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
WORKit Majority Evaluation;True;True;False;True;True;False;False;True;True;;6/9
Score Majority;10/10;10/10;7/10;10/10;10/10;7/10;4/10;8/10;10/10;;
Score Total;10/10;10/10;7/10;10/10;10/10;7/10;4/10;8/10;10/10;;76/90
