Name;Question 1;Question 2;Question 3;Question 4;Question 5;Question 6;Question 7;Question 8;Question 9;score;Score
Holmes;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes anthropic/claude-3-5-sonnet-20240620-1;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;True;True;True;True;False;True;True;;8/9
Holmes anthropic/claude-3-5-sonnet-20240620-2;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
Holmes anthropic/claude-3-5-sonnet-20240620-3;Beheer en onderhoud;Meerdere leveranciers;Enkele applicaties;Één organisatie;Mobiele applicatie;Maatwerk;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Cloud platform;;
Holmes anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;True;True;True;True;False;True;True;;8/9
MKO;Vervanging;Geen antwoord;Één applicatie;Één organisatie;Middleware;Maatwerk;Gegevens beheer systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
MKO anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Middleware;Maatwerk;Transactie verwerkend systeem;Burgers;Geen antwoord;;
MKO anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;False;True;True;True;False;False;True;;6/9
MKO anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Middleware;Maatwerk;Transactie verwerkend systeem;Burgers;Geen antwoord;;
MKO anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;False;True;True;True;False;False;True;;6/9
MKO anthropic/claude-3-5-sonnet-20240620-3;Vervanging;Geen antwoord;Een landschap van applicaties;Één organisatie;Middleware;Maatwerk;Transactie verwerkend systeem;Burgers;Geen antwoord;;
MKO anthropic/claude-3-5-sonnet-20240620-3 Evaluation;True;True;False;True;True;True;False;False;True;;6/9
NMS;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS anthropic/claude-3-5-sonnet-20240620-1;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS anthropic/claude-3-5-sonnet-20240620-1 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
NMS anthropic/claude-3-5-sonnet-20240620-2;Vervanging;Meerdere leveranciers;Één applicatie;Netwerk of keten van samenwerkende organisaties;Geen antwoord;Standaard pakket;Interactief systeem;Medewerkers van een uitvoeringsorganisatie;Geen antwoord;;
NMS anthropic/claude-3-5-sonnet-20240620-2 Evaluation;True;True;True;True;True;True;True;True;True;;9/9
